G11C5/00	Ｇ１１Ｃ１１／００に分類される記憶装置の細部
G11C14/00	電源遮断時にバックアップするための，揮発性メモリセルと不揮発性メモリセルの配置によって特徴づけられたデジタル記憶装置（供給電圧が不足したときに実際の状態を記憶する双安定素子Ｈ０３Ｋ３／０２３３５，Ｈ０３Ｋ３／０３７５，Ｈ０３Ｋ３／２８６５，Ｈ０３Ｋ３／３５６００８）
G11C14/0009	｛揮発性素子がＤＲＡＭセルであるもの｝
G11C14/0018	｛不揮発性素子がＥＥＰＲＯＭ素子，例．浮遊ゲートまたはＭＮＯＳトランジスタであるもの｝
G11C14/0027	｛不揮発性素子が強誘電体素子であるもの｝
G11C14/0036	｛不揮発性素子が磁気ＲＡＭ素子［ＭＲＡＭ］または強磁性体素子であるもの｝
G11C14/0045	｛不揮発性素子が抵抗変化ＲＡＭ素子，すなわち，プログラマブル抵抗，例．相変化材料またはカルコゲナイド材料で形成されているもの｝
G11C14/0054	｛揮発性素子がＳＲＡＭセルであるもの｝
G11C14/0063	｛不揮発性素子がＥＥＰＲＯＭ素子，例．浮遊ゲートまたはＭＮＯＳトランジスタであるもの｝
G11C14/0072	｛不揮発性素子が強誘電体素子であるもの｝
G11C14/0081	｛不揮発性素子が磁気ＲＡＭ素子［ＭＲＡＭ］または強磁性体素子であるもの｝
G11C14/009	｛不揮発性素子が抵抗変化ＲＡＭ素子，すなわち，プログラマブル抵抗，例．相変化材料またはカルコゲナイド材料で形成されているもの｝
G11C15/00	１つ以上の特徴的部分を含む情報が書き込まれ，情報の読出しはそれらの１つ以上の特徴的部分について探索することによって行なわれるデジタル記憶装置，すなわち連想記憶または内容アドレス記憶装置（情報がアドレス指定によって特定の位置に対応付けられるものＧ１１Ｃ１１／００；　｛記録担体と変換器の間の相対機械運動に基づいて記憶装置上の情報を選択するものＧ０６Ｆ７／２２；アドレス指定手段，例．ハッシング，ツリー式アドレス指定，連鎖を使用した情報の選択Ｇ０６Ｆ１１／２２；コンピュータを使用した情報検索システムＧ０６Ｆ１７／３０｝）
G11C15/02	磁気的素子を用いるもの
G11C15/04	半導体素子を使用するもの
G11C15/043	｛容量性電荷蓄積素子を使用するもの｝
G11C15/046	｛不揮発性記憶素子を使用するもの｝
G11C15/06	クライオジニック素子を用いるもの
G11C16/00	消去可能でプログラム可能な読出し専用メモリ（Ｇ１１Ｃ１４／００が優先）<br><br><u>｛注</u><br><br>このメイングループにおいては，２００２年７月１日以降の新規文献は，リフォームされたＥＣＬＡ分類手順に従って分類する。すなわち，重要な（発明情報）情報にはＥＣＬＡ分類記号，例．Ｇ１１Ｃ１６／３４０４，を付与し，他の（二次）情報には，ＩＣＯ分類記号，例．Ｇ１１Ｃ１６／３４０４(ＥＣＬＡ)，を付与する。｝
G11C16/02	電気的にプログラム可能なもの　｛（プログラム可能なマルチビットデジタル記憶素子Ｇ１１Ｃ１１／５６２１）｝
G11C16/04	可変閾値トランジスタ，例．ＦＡＭＯＳを使用するもの
G11C16/0408	｛浮動ゲートトランジスタを包含するセルで構成されるもの（Ｇ１１Ｃ１６／０４８３，Ｇ１１Ｃ１６／０４９１が優先）｝
G11C16/0416	｛単一の浮動ゲートトランジスタを包含し，セレクトトランジスタを包含しないセルで構成されるもの，例．ＵＶ　ＥＰＲＯＭ｝
G11C16/0425	｛マージ浮動ゲート及びセレクトトランジスタを包含するセルで構成されるもの｝
G11C16/0433	｛単一の浮動ゲートトランジスタおよび１つ以上の個別セレクトトランジスタを包含するセルで構成されるもの｝
G11C16/0441	｛複数の浮動ゲートデバイス，例．浮動ゲートが接続された個別読出し／書込みＦＡＭＯＳトランジスタを包含するセルで構成されるもの｝
G11C16/045	
G11C16/0458	｛独立したデータ記憶する複数の独立した浮動ゲートで構成されるもの（単一の浮動ゲートにおいて３つ以上の安定状態を記憶するためのものＧ１１Ｃ１１／５６２１）｝
G11C16/0466	｛絶縁層における電荷蓄積を有するセルで構成されるもの，例．ＭＮＯＳ，ＳＮＯＳ（Ｇ１１Ｃ１６／０４８３，Ｇ１１Ｃ１６／０４９１が優先）｝
G11C16/0475	｛独立したデータを記憶する複数の独立した記憶サイトで構成されるもの（単一の記憶サイトにおいて３つ以上の安定状態を記憶するためのものＧ１１Ｃ１１／５６２１）｝
G11C16/0483	｛直列接続された複数の記憶トランジスタを有するセルで構成されるもの｝
G11C16/0491	｛仮想グランドアレイ｝
G11C16/06	補助回路，例．メモリへの書込み用のもの（一般Ｇ１１Ｃ７／００）
G11C16/08	アドレス回路；デコーダ；ワード線制御回路
G11C16/10	プログラミングまたはデータ入力回路
G11C16/102	｛外部プログラミング回路，例．ＥＰＲＯＭプログラマ；回路内プログラミングまたは再プログラミング；ＥＰＲＯＭエミュレータ｝
G11C16/105	
G11C16/107	
G11C16/12	プログラミング電圧スイッチング回路
G11C16/14	電気的に消去するための回路，例．消去電圧スイッチング回路
G11C16/16	ブロック，例．アレイ，ワード，グループ消去用のもの
G11C16/18	光学的に消去するための回路
G11C16/20	初期化；データプリセット；チップ識別
G11C16/22	メモリ・セルへの不正な，または不慮のアクセスを防ぐための安全または保護回路
G11C16/225	｛電源電圧が所要範囲外のときに消去，プログラミング，または読取りを防止するもの｝
G11C16/24	ビット線制御回路
G11C16/26	センス回路または読出し回路；データ出力回路
G11C16/28	差動センシングまたは基準セルを用いるもの，例．ダミーセル
G11C16/30	電源回路
G11C16/32	タイミング回路
G11C16/34	プログラミング状態の決定，例．閾値電圧，過書込みまたは不十分な書込み，保持
G11C16/3404	｛メモリセル閾値電圧の収束または補正；過消去または過書込みセルの修理または復旧｝
G11C16/3409	
G11C16/3413	
G11C16/3418	｛外乱の防止または評価；乱れたメモリデータのリフレッシング｝
G11C16/3422	
G11C16/3427	
G11C16/3431	
G11C16/3436	｛適正な書込みまたは消去を検証するための装置｝
G11C16/344	｛適正な消去を検証するためまたは過消去セルを検出するための装置｝
G11C16/3445	
G11C16/345	
G11C16/3454	｛適正な書込みを検証するためのまたは過書込みセルを検出するための装置｝
G11C16/3459	
G11C16/3463	
G11C16/3468	｛過消去または過書込みの防止，例．消去または書込みの最中の検証によるもの｝
G11C16/3472	
G11C16/3477	
G11C16/3481	
G11C16/3486	
G11C16/349	｛劣化，保持，または磨耗を評価するための装置，例．消去サイクルをカウントすることによるもの｝
G11C16/3495	
G11C17/00	一度だけプログラム可能な読出し専用メモリ；半永久的記憶装置，例．手動で差替え可能な情報カード　（｛多値読出し専用メモリＧ１１Ｃ１１／５６９２；｝（消去可能でプログラム可能な読出し専用メモリＧ１１Ｃ１６／００；符号化，復号化または符号変換一般Ｈ０３Ｍ；｛ＲＯＭとＲＡＭの結合Ｇ１１Ｃ１１／００Ｃ，Ｇ１１Ｃ１４／００；燃焼機関の電気制御用のものＦ０２Ｄ４１／２４Ｄ｝）
G11C17/005	｛Ｎ：多数のデータに共通の記憶素子を有するもの，例．穴あきカード（Ｇ１１Ｃ１７／０２，Ｇ１１Ｃ１７／０４が優先）｝
G11C17/02	磁気的または誘導的素子を用いるもの（Ｇ１１Ｃ１７／１４が優先）
G11C17/04	容量的素子を用いるもの（Ｇ１１Ｃ１７／０６，Ｇ１１Ｃ１７／１４が優先）.
G11C17/06	ダイオード素子を用いるもの（Ｇ１１Ｃ１７／１４が優先）
G11C17/08	半導体装置を用いるもの，例．バイポーラ素子を用いるもの（Ｇ１１Ｃ１７／０６，Ｇ１１Ｃ１７／１４が優先）
G11C17/10	その記憶内容が，結合素子のあらかじめ決められた配置によって製造時に決められるもの，例．マスクプログラム可能なＲＯＭ
G11C17/12	電界効果型装置を用いるもの
G11C17/123	｛直列接続された複数の記憶トランジスタを有するセルで構成されるもの｝
G11C17/126	｛仮想接地アレイ｝
G11C17/14	その記憶内容が，結合素子の状態を永久に変えることによって連結リンクを選択的に設定，切断または変更することにより決められるもの，例．ＰＲＯＭ
G11C17/143	｛レーザーで溶断可能なリンクを用いるもの｝
G11C17/146	｛ライトワンスメモリ，例》加ビットに書込みを行うことでメモリ内容の変更を許すもの｝
G11C17/16	電気的に溶断可能なリンクを用いるもの
G11C17/165	｛抵抗の変化を引き起こすように電気的にプログラムされるメモリセル，例．ヒューズ／アンチヒューズの導通から非導通／非道通から導通状態への変更というより、複数の抵抗段階にプログラムできるもの（抵抗ランダムアクセスメモリ素子を用いるデジタル記憶装置　Ｇ１１Ｃ１３／０００２）｝
G11C17/18	補助回路，例．メモリへの書き込み用のもの（一般Ｇ１１Ｃ７／００）
G11C19/00	情報がステップ形式で移動するデジタル記憶装置、例．シフト・レジスタ（計数チェーン　Ｈ０３Ｋ２３／００）｛スタック，後入れ先出し記憶（線形パルスカウンタ　Ｈ０３Ｋ２３／０２，　パルス分配器　Ｈ０３Ｋ５／１５，　データシフトのための方法と装置　Ｇ０６Ｆ５／０１）｝
G11C19/005	｛強誘電体素子（コンデンサ）を用いるもの｝
G11C19/02	磁気素子を用いるもの（Ｇ１１Ｃ１９／１４が優先）
G11C19/04	１つの孔または磁気ループを有するコアを用いるもの
G11C19/06	多数の孔または磁気ループを有する構造を用いるもの，例．トランスフラクサ｛ラディック｝
G11C19/08	平板薄膜構造を用いるもの｛磁気薄膜および装置またはその適合した製造または組み立て方法　Ｈ０１Ｆ１０／００，Ｈ０１Ｆ４１／１４｝
G11C19/0808	｛磁区伝播を用いるもの｝
G11C19/0816	｛同一平面内の磁界の回転または変化を用いるもの｝
G11C19/0825	｛可変垂直磁界を用いるもの｝
G11C19/0833	｛磁区相互作用を用いるもの｝
G11C19/0841	｛電流を用いるもの｝
G11C19/085	｛磁区伝播のために磁界を生成するもの，例．磁区安定のための一様の磁界（コイル構造　Ｈ０１Ｆ５／００；　電磁石　Ｈ０１Ｆ７／０６）｝
G11C19/0858	｛磁区の生成、複製、消滅（また　異なるタイプの磁区を含む，例．ハード・バブル）（Ｇ１１Ｃ１９／０８６６優先）｝
G11C19/0866	｛磁区の検出（磁界の計測または検出一般　Ｇ０１Ｒ３３／０２｝
G11C19/0875	｛複数の磁気シフトレジスタの編成　（ＦＩＦＯ　Ｇ０６Ｆ５／０６；　ＬＩＦＯ　Ｇ０６Ｆ７／７８）｝
G11C19/0883	｛磁区を一つの経路から他の経路にスイッチするための手段，例．トランスファースイッチ，スワップゲート，磁区を用いるデコード論理回路　Ｈ０３Ｋ１９／１６８｝
G11C19/0891	｛ハイブリッド構成を用いるもの，例．イオン注入された層｝
G11C19/10	ロッド上の薄膜を用いるもの；ツイスタによるもの
G11C19/12	共振回路中の非線型誘導素子を用いるもの｛例．パラメトロン；オーバークリティカルなフィードバックを用いた磁気増幅器｝
G11C19/14	能動素子，例．放電管，半導体素子，と結合した磁気素子を用いるもの｛文献は入っていない，暫定的にＧ１１Ｃ１９／０２からＧ１１Ｃ１９／１０を参照｝
G11C19/18	ステージの主素子としてキャパシタを用いるもの｛もしキャパシタが主ステージと他要素間の補助ステージとして用いられている場合は、Ｇ１１Ｃ１９／００５優先｝
G11C19/182	｛半導体素子と結合するもの，例．バイポーラトランジスタ，ダイオード｝
G11C19/184	｛電界効果トランジスタと結合するもの，例．ＭＯＳ−ＦＥＴ｝
G11C19/186	｛一つのキャパシタにつき一つのトランジスタだけ用いるもの，例．バケツリレーシフトレジスタ｝
G11C19/188	｛多数のシフトレジスタの編成，例．再生成，タイミング，入出力回路（ＦＩＦＯ　Ｇ０６Ｆ５／０６；　ＬＩＦＯ　Ｇ０６Ｆ７／７８）｝
G11C19/20	放電管を用いるもの（Ｇ１１Ｃ１９／１４優先）
G11C19/202	｛真空管を用いるもの（Ｇ１１Ｃ１９／２０７優先）｝
G11C19/205	｛ガス入り管を用いるもの（Ｇ１１Ｃ１９／２０７優先）｝
G11C19/207	｛計数管を用いるもの｝
G11C19/28	半導体素子を用いるもの（Ｇ１１Ｃ１９／１４が優先）
G11C19/282	｛空乏層に電荷蓄積するもの，例．電荷結合素子（ＣＣＤ）｝
G11C19/285	｛周辺回路，例．初段に書込み、最終段から読み出すためのもの｝
G11C19/287	｛多数のシフトレジスタの編成（ＦＩＦＯ　Ｇ０６Ｆ５／０６；　ＬＩＦＯ　Ｇ０６Ｆ７／７８）｝
G11C19/30	・オプト―エレクトロニクス装置，例．電気的または光学的に結合された光放射および光―電気装置を用いるもの
G11C19/32	超電導素子を用いるもの
G11C19/34	３以上の異なる安定状態を有する記憶素子を用いるもの，例．電圧によるもの，電流によるもの，位相によるもの，周波数によるもの｛ＲＡＭ内の多安定セル　Ｇ１１Ｃ１１／５６；　容量性のアナログ記憶　Ｇ１１Ｃ２７／０４｝
G11C19/36	｛多安定｝半導体素子を用いるもの
G11C19/38	二次元の，例．水平方向と垂直方向に情報が移動するシフト・レジスタ
G11C21/00	情報が｛連続的に｝循環する形式のデジタル記憶装置（ステップ形式のものＧ１１Ｃ１９／００）
G11C21/005	｛電気的遅延線（その線の構造　Ｈ０３Ｈ７／３０，　Ｈ０３Ｈ１１／２６）｝
G11C21/02	電気機械遅延線を用いるもの，例．水銀タンクを用いるもの｛その線の構造　Ｈ０３Ｈ９／００｝
G11C21/023	｛圧電トランスデューサーを用いるもの，例．水銀タンク｝
G11C21/026	｛磁歪トランスデューサーを用いるもの，例．ニッケル遅延線｝
G11C23/00	機械的部分の移動によって記憶を行なわせることを特徴とするデジタル記憶装置，例．ボールを用いるもの；そのための記憶素子（接点の作動によって記憶するものＧ１１Ｃ１１／４８）
G11C25/00	流体の利用を特徴とするデジタル記憶装置；そのための記憶素子　｛（デジタル動作を実行するためのマルチ流体回路素子装置Ｆ１５Ｃ１／１２）｝
G11C27/00	電気的アナログ記憶装置，例．瞬時値を記憶するためのもの　｛記憶装置として作用する積分回路Ｇ０６Ｇ７／１８；逐次積分と静的記憶を伴うパルスカウンタＨ０３Ｋ２５／００｝
G11C27/005	｛不揮発性電荷蓄積を伴うもの，例．浮動ゲートまたはＭＮＯＳ上のもの｝
G11C27/02	サンプルホールド機構（Ｇ１１Ｃ２７／０４が優先；電気信号の抽出，一般Ｈ０３Ｋ）
G11C27/022	｛磁気メモリ素子を使用するもの｝
G11C27/024	｛容量性メモリ素子を使用するもの（Ｇ１１Ｃ２７／０４が優先）｝
G11C27/026	｛増幅器に関連するもの（Ｇ１１Ｃ２７／０２８が優先）｝
G11C27/028	｛電流モード回路，例．スイッチトカレントメモリ）｝
G11C27/04	シフトレジスタ（電荷結合装置それ自体Ｈ０１Ｌ２９／７６）
G11C29/00	記憶装置の正確な動作のチェック；　｛後の修理｝；スタンバイまたはオフライン動作中の記憶装置の試験｛（電子回路の試験一般Ｇ０１Ｒ３１／２８；通常動作中のコンピュータメモリでの誤り検出または誤り訂正Ｇ０６Ｆ１１／００Ｃ５(ＥＣＬＡ)，Ｇ０６Ｆ１１／１００８，Ｇ０６Ｆ１１／１６０８；スタンバイ中のコンピュータの試験Ｇ０６Ｆ１１／２２；システムレベルでのコンピュータメモリの修理Ｇ０６Ｆ１１／２０Ｌ(ＥＣＬＡ)）｝
G11C29/003	｛シリアルメモリにおけるもの｝
G11C29/006	｛ウェーハスケールレベルのもの，すなわち，ＷＳＩ（製造中の試験および構成のためのものＨ０１Ｌ２１／６６(ＥＣＬＡ)）｝
G11C29/02	｛ＩＰＣ８｝欠陥補助回路，例．欠陥リフレッシュカウンタ，の検出またはその位置の特定
G11C29/021	
G11C29/022	
G11C29/023	
G11C29/024	
G11C29/025	
G11C29/026	
G11C29/027	
G11C29/028	
G11C29/04	｛ＩＰＣ８｝欠陥メモリ素子の検出またはその位置の特定，｛例．セル構造上の細部，試験信号のタイミング｝
G11C2029/0401	
G11C2029/0403	
G11C2029/0405	
G11C2029/0407	
G11C2029/0409	
G11C2029/0411	
G11C29/06	｛ＩＰＣ８｝加速試験
G11C29/08	｛ＩＰＣ８｝機能試験，例．リフレッシュ中の試験，パワーオン・セルフテスト（ＰＯＳＴ），または分散テスト
G11C29/10	｛ＩＰＣ８｝テストアルゴリズム，例．メモリスキャン（ＭＳｃａｎ）アルゴリズム；テストパターン，例．チェックボードパターン
G11C29/12	｛ＩＰＣ８｝試験のための組み込み装置，例．組み込み自己テスト（ＢＩＳＴ）　｛または相互接続の細部｝
G11C29/12005	
G11C29/1201	
G11C29/12015	
G11C2029/1202	
G11C2029/1204	
G11C2029/1206	
G11C2029/1208	
G11C29/14	｛ＩＰＣ８｝制御論理の実施，例．テストモードのデコーダ
G11C29/16	｛ＩＰＣ８｝マイクロプログラム方式のユニットを使用するもの，例．ステートマシン
G11C29/18	｛ＩＰＣ８｝アドレス作成装置；メモリにアクセスするための装置，例．アドレス回路の細部
G11C2029/1802	
G11C2029/1804	
G11C2029/1806	
G11C29/20	｛ＩＰＣ８｝カウンタまたは線形フィードバックシフトレジスタ（ＬＦＳＲ）を使用するもの
G11C29/22	｛ＩＰＣ８｝シリアルメモリへアクセスするもの
G11C29/24	｛ＩＰＣ８｝補助的なセルへアクセスするもの，例．ダミーセルまたは冗長セル
G11C29/26	｛ＩＰＣ８｝マルチプルアレイへアクセスするもの（Ｇ１１Ｃ２９／２４が優先）
G11C2029/2602	
G11C29/28	｛ＩＰＣ８｝依存関係のあるマルチプルアレイ，例．マルチビットを持つアレイ
G11C29/30	｛ＩＰＣ８｝シングルアレイへアクセスするもの
G11C29/32	｛ＩＰＣ８｝シリアルアクセス；スキャンテスト
G11C2029/3202	
G11C29/34	｛ＩＰＣ８｝マルチビットに同時にアクセスするもの
G11C29/36	｛ＩＰＣ８｝データ作成装置，例．データインバータ
G11C2029/3602	
G11C29/38	｛ＩＰＣ８｝応答検証装置
G11C29/40	｛ＩＰＣ８｝圧縮技術を使用するもの
G11C2029/4002	
G11C29/42	｛ＩＰＣ８｝誤り訂正符号（ＥＣＣ）またはパリティチェックを使用するもの
G11C29/44	｛ＩＰＣ８｝誤りの表示または識別，例．修理のためのもの
G11C29/4401	
G11C2029/4402	
G11C29/46	｛ＩＰＣ８｝テストトリガー論理
G11C29/48	｛ＩＰＣ８｝記憶装置の外部の手段による試験に特に適した静的記憶装置にするもの，例．ダイレクトメモリアクセス（ＤＭＡ）を使用するもの，または補助アクセス経路を使用するもの（外部試験装置Ｇ１１Ｃ２９／５６）
G11C29/50	｛ＩＰＣ８｝マージン試験，例．レース，電圧，または電流試験
G11C29/50004	
G11C29/50008	
G11C29/50012	
G11C29/50016	
G11C2029/5002	
G11C2029/5004	
G11C2029/5006	
G11C29/52	｛ＩＰＣ８｝メモリ内容の保護；メモリ内容の誤りの検出
G11C29/54	｛ＩＰＣ８｝試験回路を設計するための装置，例．テスト容易化設計（ＤＦＴ）ツール
G11C29/56	｛ＩＰＣ８｝静的記憶のための外部試験装置，例．自動検査装置（ＡＴＥ）；そのインターフェース
G11C29/56004	
G11C29/56008	
G11C29/56012	
G11C29/56016	
G11C2029/5602	
G11C2029/5604	
G11C2029/5606	
G11C29/70	
G11C29/702	
G11C29/72	
G11C29/74	
G11C29/76	
G11C29/765	
G11C29/78	
G11C29/781	
G11C29/783	
G11C29/785	
G11C29/787	
G11C29/789	
G11C29/80	
G11C29/802	
G11C29/804	
G11C29/806	
G11C29/808	
G11C29/81	
G11C29/812	
G11C29/814	
G11C29/816	
G11C29/818	
G11C29/82	
G11C29/822	
G11C29/824	
G11C29/83	
G11C29/832	
G11C29/835	
G11C29/838	
G11C29/84	
G11C29/842	
G11C29/844	
G11C29/846	
G11C29/848	
G11C29/86	
G11C29/88	
G11C29/883	
G11C29/886	
G11C99/00	このサブクラスの他のグループに分類されない主題事項
G11C2207/00	デジタル記憶装置に情報を書き込みまたはデジタル記憶装置から情報を読み出す装置に関するインデキシング列
G11C2207/002	分離ゲート，例．ビット線をセンスアンプに接続するゲート
G11C2207/005	転送ゲート，例．センスアンプの出力をデータ線，Ｉ／Ｏ線またはグローバルビット線に接続するゲート
G11C2207/007	レジスタアレイ
G11C2207/06	センスアンプに関する観点
G11C2207/061	制御信号に関連したアドレス変化の検知によって活性化されたセンスアンプ
G11C2207/063	電流センスアンプ
G11C2207/065	センスアンプドライバ
G11C2207/066	周波数読み出し型のセンスアンプ
G11C2207/068	統合型のセンスアンプ
G11C2207/10	外部バスとのメモリ装置のインターフェースに関する観点
G11C2207/101	アナログまたは多レベルバス
G11C2207/102	記憶装置の前段のデータ圧縮または解凍
G11C2207/104	埋込型の記憶措置，例．同一のダイに処理装置を有するメモリまたはＡＳＩＣメモリ設計
G11C2207/105	パッド，ピンまたは端子に関する観点
G11C2207/107	データのシリアルパラレル変換またはプリフェッチ
G11C2207/108	広域データポート
G11C2207/12	ビット線のイコライズ
G11C2207/16	音声用の固体メモリ（Ｇ０６Ｆ３／１６，Ｇ１１Ｂ）
G11C2207/22	内部メモリ操作の制御とタイミング
G11C2207/2209	読み出しと書き込みの並列
G11C2207/2218	遅延書き込み
G11C2207/2227	スタンバイまたは低消費電力モード
G11C2207/2236	複写
G11C2207/2245	内部キャッシュバッファを有するメモリ装置
G11C2207/2254	キャリブレーション
G11C2207/2263	書き込み条件，例．新データと旧データの差異
G11C2207/2272	レイテンシーの観点
G11C2207/2281	読み出し操作のタイミング（センスアンプのタイミングＧ１１Ｃ７／０６，Ｇ１１Ｃ７／０８）
G11C2207/229	書き込み操作のタイミング（センスアンプのタイミングＧ１１Ｃ７／０６，Ｇ１１Ｃ７／０８）
G11C2211/00	
G11C2211/401	リフレッシングまたは電荷再生を必要とするセル，すなわち，ダイナミックセルに関するインデキシング列
G11C2211/4013	１ビットに複数のセルを用いる記憶装置
G11C2211/4016	シリコンオン酸化物（ＳＯＩ）セルを用いる記憶装置
G11C2211/406	ダイナミックセルのリフレッシング
G11C2211/4061	キャリブレーションの頻度または間隔の調整
G11C2211/4062	リフレッシュ操作におけるパリティまたＥＣＣ
G11C2211/4063	インターリーブされたリフレッシュ操作
G11C2211/4065	リフレッシュ操作の低レベルの細部
G11C2211/4066	疑似ＳＲＡＭ
G11C2211/4067	スタンバイまたは低消費電力モードにおけるリフレッシュ
G11C2211/4068	リフレッシュ操作における電圧またはリーク
G11C2211/56	G11C11/56とこれらのグループによってカバーされない特徴のグループに関するインデキシング列
G11C2211/561	多値メモリセルの構造観点
G11C2211/5611	１つより多くの制御ゲートを持つ多値メモリセル
G11C2211/5612	１つより多くの浮遊ゲートを持つ多値メモリセル
G11C2211/5613	制御ゲートまたは浮遊ゲートではない付加的なゲートを持つ多値メモリセル
G11C2211/5614	負性抵抗，量子トンネル，共鳴トンネル素子を含む多値メモリセル
G11C2211/5615	非磁性体非金属内部層を持つ多値メモリセル，例．ＭＴＪ
G11C2211/5616	非磁性体金属内部層を持つ多値メモリセル，例．ＧＭＲ，ＳＶ，ＰＳＶ
G11C2211/5617	ソース，ドレインまたはゲートが接続されることによってプログラムされる多値ROMセル
G11C2211/562	多値メモリセルのプログラミング観点
G11C2211/5621	多値プログラミングのベリファイ
G11C2211/5622	１つより多くのセルの並列多値プログラミング
G11C2211/5623	多値プログラムと読み出しの並列
G11C2211/5624	多値プログラムとベリファイの並列
G11C2211/5625	自己収れん多値プログラミング
G11C2211/563	多値メモリセルの読み出し観点
G11C2211/5631	ソース，ドレインまたは
G11C2211/5632	１つより多くのセルの並列多値読み出し
G11C2211/5633	並列と順次とが混在した多値読み出し
G11C2211/5634	リファレンスセル
G11C2211/564	種々の観点
G11C2211/5641	記憶レベルの数が異なるセルを持つ多値メモリ
G11C2211/5642	入力または出力用のバッファ，ラッチ，レジスタを有する多値メモリ
G11C2211/5643	キャッシュメモリ装置を含む多値メモリ
G11C2211/5644	計数装置を含む多値メモリ
G11C2211/5645	カレントミラー回路を有する多値メモリ
G11C2211/5646	フラグ，例．ワード線の第1ページがプログラムされたが第2ページがプログラムされていないことを示す，を有する多値メモリ
G11C2211/5647	ビット反転回路を有する多値メモリ
G11C2211/5648	操作の順番または順序が関係する多値メモリのプログラミング，読み出しまたは消去
G11C2211/5649	プレート線または層を有する，例．プログラミング電圧を下げるために，多値メモリ
G11C2211/565	トリプルウェア構造での素子を含む多値メモリ
G11C2213/00	このグループによってカバーされない特徴のための G11C13 / ００に関連したインデックススキーム
G11C2213/10	抵抗セル；技術形態
G11C2213/11	金属イオンの閉じ込め，すなわち，トンネルまたはチャネル形状の空洞，穴，スペースを含む記憶材料を使うことによる，ただし，金属イオンは化学反応したり，フィラメントや樹状を生成する電子集合を形成したりしない。
G11C2213/12	非金属イオンの閉じ込め，すなわち，書き込み動作の間に電極あるいはもう１つのレイヤによって与えられた非金属イオンを閉じ込めているメモリ材料を使うことによる
G11C2213/13	分離，すなわち，書き込み動作の間に記憶材料内で移動するイオンで切り離される分子を含むもの
G11C2213/14	記憶状態として異なる分子構造，例．回転させられた分子部分を使用するもの
G11C2213/15	電流−電圧曲線
G11C2213/16	ナノチューブ，例．分断されたナノチューブである記憶セル
G11C2213/17	ナノワイアトランジスタである記憶セル
G11C2213/18	放射状の構成を持つナノワイアであり記憶セル
G11C2213/19	少なくとも１つのナノワイアと２つのみの終端を含む記憶セル
G11C2213/30	抵抗セル；記憶材料形態
G11C2213/31	複合金属酸化物，例．ペロブスカイト構造を含む材料
G11C2213/32	単純に２つの金属酸化物からなる材料
G11C2213/33	シリコンを含む材料
G11C2213/34	酸化物または窒化物を含む材料
G11C2213/35	炭素，例．グラファイト，グラフィームを含む材料
G11C2213/50	抵抗セルの構造形態
G11C2213/51	電極付近のイオン，電子の移動，拡散，電解液の形成を制限または防止する障壁層含む構造
G11C2213/52	電極の材料，形状などによって特徴付けられた構造
G11C2213/53	トランジスタ内部，例．ゲートに抵抗材料がある構造
G11C2213/54	トンネル障壁層，トンネル障壁の抵抗変化を暗示する記憶効果を含む材料
G11C2213/55	２つの電極，記憶動作層と少なくとも２つの能動的，ソース的，受動的な層，動作記憶層を変化させない層を含む構造
G11C2213/56	２つの電極，記憶動作層と電極ではない能動的，ソース的，受動的な層を含む構造であって，能動的，ソース的，受動的な層は，フィラメントを形成するため，または，酸化還元反応を記憶動作層の材料と起こすため，後に，記憶動作層に単に閉じ込められるイオンを供給する層である構造
G11C2213/70	抵抗アレイの形態
G11C2213/71	３次元アレイ
G11C2213/72	選択素子がダイオードであるアレイ
G11C2213/73	記憶素子の記憶機能と一体化して選択素子機能，例．ダイオード機能を持つアレイ
G11C2213/74	２つ以上の選択素子を各記憶セルが持つアレイ
G11C2213/75	選択トランジスタに並列に接続された記憶素子の列，または，記憶セルの列を含むＮＡＮＤ構造を持つアレイ
G11C2213/76	トランジスタでもダイオードでもない選択素子を各セルのために使用するアレイ
G11C2213/77	選択素子を使用することなく，ビット線とワード線に直接的に接続された記憶素子を持つアレイ
G11C2213/78	一群の記憶セルが選択素子を共有し，共通の電極とワート線ドライバ，ビット線ドライバの一部でない選択素子をその一群の全ての記憶セルが持つアレイ
G11C2213/79	選択素子がトランジスタであるアレイ
G11C2213/80	基板，セル，配線，選択素子が全て有機材料で形成されたアレイ
G11C2213/81	アレイ配線，例．ワード線，ビット線がナノワイアで形成されたアレイ
G11C2213/82	セルを選択するために，ビット線とプレート線またはソース線が異なる電位を受け取るアレイ
G11C2216/00	Ｇ１１Ｃ１６／００とサブグループに関連するインデキシングスキームであって、これらのグループに直接はカバーされない特徴に対するもの
G11C2216/02	消去可能でプログラム可能な読出し専用メモリの構造面に関するもの
G11C2216/04	セル消去用に別個の制御ゲートを備える不揮発性メモリセル，例．通常の読出し用制御ゲートとは独立したイレースゲート
G11C2216/06	複数の孤立したシリコンアイランドを含むフローティングゲートを備えるフローティングゲートセル，例　ナノクリスタル
G11C2216/08	データ記憶が比較的少ない電子を記憶層に蓄積することによりなされる不揮発性メモリ，例．単電子メモリ
G11C2216/10	単層ポリシリコンを有するフローティングゲートメモリセル
G11C2216/12	消去可能で書込み可能な読出し専用メモリの読出し及び書込み面に関するもの
