C10J1/00	熱分解なしに空気または他のガスの増熱化による燃料ガスの製造（内燃機関用Ｆ０２）
C10J1/02	空気の増熱化
C10J1/04	空気供給の調節
C10J1/06	常温で液体の物質をもつもの
C10J1/08	空気を液体中または液体表面を通過させることによるもの
C10J1/10	担体に吸収した液体をもつもの
C10J1/12	液体の噴霧化によるもの
C10J1/14	空気供給により液体の供給を調節するもの
C10J1/16	固体炭化水素をもつもの
C10J1/18	回転式の増熱器において行なうもの
C10J1/20	空気以外のガスの増熱化
C10J1/207	燃料床における固体炭素質物質の熱分解による増熱化（Ｃ１０Ｊ３／６６が優先）
C10J1/213	気化器中における固体炭素質物質の熱分解による増熱化
C10J1/22	蒸気の固着を防止する物質の添加
C10J1/24	増熱化されるべき空気またはガスの湿度調節
C10J1/26	高温または高圧の使用
C10J1/28	エアガスの付臭化
C10J3/00	固体炭素質燃料から一酸化炭素含有可燃性ガスの製造（分解乾留式Ｃ１０Ｂ）
C10J3/002	
C10J3/005	
C10J3/007	
C10J3/02	塊状燃料の固定床ガス化
C10J3/04	サイクリック式，例．ブローおよびランの交互運転
C10J3/06	連続式
C10J3/08	液状で灰分除去をもつもの
C10J3/10	外熱式を用いるもの
C10J3/12	固体熱媒体を用いるもの
C10J3/14	ガス状熱媒体を用いるもの
C10J3/16	酸素および水と炭素質物質との同時的反応によるもの
C10J3/18	電気を用いるもの
C10J3/20	装置；プラント
C10J3/22	弁または煙道の配置または順序
C10J3/24	燃料床を通しての上方向以外へのガスまたは蒸気の放流
C10J3/26	下方向への放流
C10J3/28	完全自動式
C10J3/30	燃料供給装置
C10J3/32	床上に一様に燃料を分配するためのまたは燃料床をかくはんするための装置
C10J3/34	火格子；機械的に灰分除去をする装置
C10J3/36	固定火格子
C10J3/38	かくはん棒をもつもの
C10J3/40	移動火格子
C10J3/42	回転火格子
C10J3/44	運搬装置に使用するため取り付けられるもの
C10J3/46	懸濁している粒状または粉状燃料のガス化
C10J3/463	
C10J3/466	
C10J3/48	装置；プラント
C10J3/482	
C10J3/485	
C10J3/487	
C10J3/50	燃料供給装置
C10J3/503	
C10J3/506	
C10J3/52	灰分除去装置
C10J3/523	
C10J3/526	
C10J3/54	ウインクラー技術による粒状または粉状燃料のガス化，すなわち流動化によるもの
C10J3/56	装置；プラント
C10J3/57	溶融塩または溶融金属を用いるガス化（Ｃ１０Ｊ３／０２，Ｃ１０Ｊ３／４６が優先）
C10J3/58	燃料の予備乾留との結合
C10J3/60	方法
C10J3/62	乾留生成物を別々に取り出すもの
C10J3/64	乾留生成物の分解によるもの
C10J3/66	ガス化帯域にそれらを導入することによるもの
C10J3/72	他の様式
C10J3/721	
C10J3/723	
C10J3/725	
C10J3/726	
C10J3/728	
C10J3/74	シェルまたはジャケットの構造
C10J3/76	ウォータージャケット；スチームボイラジャケット
C10J3/78	高圧装置
C10J3/80	ブロー用空気または水蒸気を予熱するための装置をもつもの
C10J3/82	ガス排出手段
C10J3/84	ガスからじんあいまたはタールを除去するための手段をもつもの
C10J3/845	
C10J3/86	排熱ボイラとの結合
C10J2200/00	
C10J2200/06	
C10J2200/09	
C10J2200/12	
C10J2200/15	
C10J2200/152	
C10J2200/154	
C10J2200/156	
C10J2200/158	
C10J2200/31	
C10J2200/33	
C10J2200/36	
C10J2200/39	
C10J2300/00	
C10J2300/06	
C10J2300/09	
C10J2300/0903	
C10J2300/0906	
C10J2300/0909	
C10J2300/0913	
C10J2300/0916	
C10J2300/092	
C10J2300/0923	
C10J2300/0926	
C10J2300/093	
C10J2300/0933	
C10J2300/0936	
C10J2300/094	
C10J2300/0943	
C10J2300/0946	
C10J2300/095	
C10J2300/0953	
C10J2300/0956	
C10J2300/0959	
C10J2300/0963	
C10J2300/0966	
C10J2300/0969	
C10J2300/0973	
C10J2300/0976	
C10J2300/0979	
C10J2300/0983	
C10J2300/0986	
C10J2300/0989	
C10J2300/0993	
C10J2300/0996	
C10J2300/12	
C10J2300/1207	
C10J2300/1215	
C10J2300/1223	
C10J2300/123	
C10J2300/1238	
C10J2300/1246	
C10J2300/1253	
C10J2300/1261	
C10J2300/1269	
C10J2300/1276	
C10J2300/1284	
C10J2300/1292	
C10J2300/16	
C10J2300/1603	
C10J2300/1606	
C10J2300/1609	
C10J2300/1612	
C10J2300/1615	
C10J2300/1618	
C10J2300/1621	
C10J2300/1625	
C10J2300/1628	
C10J2300/1631	
C10J2300/1634	
C10J2300/1637	
C10J2300/164	
C10J2300/1643	
C10J2300/1646	
C10J2300/165	
C10J2300/1653	
C10J2300/1656	
C10J2300/1659	
C10J2300/1662	
C10J2300/1665	
C10J2300/1668	
C10J2300/1671	
C10J2300/1675	
C10J2300/1678	
C10J2300/1681	
C10J2300/1684	
C10J2300/1687	
C10J2300/169	
C10J2300/1693	
C10J2300/1696	
C10J2300/18	
C10J2300/1807	
C10J2300/1815	
C10J2300/1823	
C10J2300/183	
C10J2300/1838	
C10J2300/1846	
C10J2300/1853	
C10J2300/1861	
C10J2300/1869	
C10J2300/1876	
C10J2300/1884	
C10J2300/1892	
