C21B3/00	銑鉄の製造における一般的特徴（混銑炉Ｃ２１Ｃ１／０６）
C21B3/02	添加物，例．溶剤，を加えることによるもの
C21B3/04	副産物，例．スラグ，の回収
C21B3/06	融液状スラグの処理（スラグウールＣ０３Ｂ；スラグ人造石Ｃ０４Ｂ）
C21B3/08	スラグの冷却
C21B3/10	スラグポット；スラグカー
C21B5/00	溶鉱炉による銑鉄の製造
C21B5/001	｛追加の燃料または還元剤を注入するもの｝
C21B5/002	｛電気的に加熱するもの　（プラズマ）｝
C21B5/003	｛粉末石炭を注入するもの｝
C21B5/004	｛スラリの注入｝
C21B2005/005	還元ガスの選択または処理
C21B5/006	｛プロセスを自動制御するもの｝
C21B5/007	｛コークスの条件化または用いるコークスに特徴があるもの｝
C21B5/008	｛装入物の成分組成または分布｝
C21B5/02	特殊銑鉄の製造，例．添加物，例．他金属の酸化物，の添加によるもの
C21B5/023	｛溶融部への添加物の注入｝
C21B5/026	｛可塑性材料の注入｝　
C21B5/04	特殊な組成のスラグの製造
C21B5/06	溶鉱炉製銑法において炉頂ガスを用いるもの（コークス炉におけるものＣ１０Ｂ）
C21B7/00	溶鉱炉（溶鉱炉に付随する巻揚装置Ｂ６６Ｂ９／０６）
C21B7/002	｛排ガスの排出および処理｝
C21B7/005	｛漏れ検出用バルブまたはスライド弁｝
C21B7/007	｛頂圧の制御または調節｝
C21B7/02	内部形状
C21B7/04	特殊耐火物をもつもの（耐火材料Ｃ０４Ｂ）
C21B7/06	炉体のライニング
C21B7/08	炉頂がい装
C21B7/10	冷却；冷却用装置
C21B7/103	｛冷却液の漏れの検出｝
C21B7/106	｛炉下部の冷却｝
C21B7/12	湯出口のせん孔または密閉
C21B7/125	｛耐火物の充填によるもの｝
C21B7/14	排出装置，例．スラグ用
C21B7/16	羽口
C21B7/163	｛吹管の組み立て｝
C21B7/166	｛羽口交換装置｝
C21B7/18	ベルおよびホッパ装置
C21B7/20	装入物を分配するための装置をもつもの
C21B7/205	
C21B7/22	収じん装置
C21B7/24	検尺棒または他の検査装置
C21B9/00	溶鉱炉への衝風を加熱するための熱風炉
C21B9/02	れんが積熱風炉
C21B9/04	燃焼シャフトをもつもの
C21B9/06	ライニング
C21B9/08	鋼管式熱風炉
C21B9/10	その他の細部，例．送風主管
C21B9/12	溶鉱炉用熱風弁またはスライド弁（弁一般Ｆ１６Ｋ）
C21B9/14	燃焼用空気の予熱
C21B9/16	熱風の冷却または乾燥
C21B11/00	溶鉱炉によらない銑鉄の製造
C21B11/02	低シャフト炉によるもの　｛または直立炉｝
C21B11/06	ロータリーキルンによるもの
C21B11/08	炉床式炉によるもの
C21B11/10	電気炉によるもの
C21B13/00	直接法による海綿鉄または溶鋼の製造
C21B13/0006	｛溶融状態での鉄または鋼の取得｝
C21B13/0013	｛炭素還元剤を含む溶鉄の浴への酸化鉄の注入｝
C21B13/002	｛炭素材の加熱管を通すことによる鉄鉱石の還元｝
C21B13/0026	｛バーナーの炎または熱ガス流への酸化鉄の導入｝
C21B13/0033	｛材料の分散物を含んだ流動床炉または装置内で｝
C21B13/004	｛原鉱石からの還元による連続法｝
C21B13/0046	｛金属化した集塊物または酸化鉄の製造｝
C21B13/0053	｛集塊化格子上で｝
C21B13/006	｛非鉄金属酸化物を含有する原鉱石から出発するもの｝
C21B13/0066	｛固体炭素質還元剤の予備調整｝
C21B13/0073	｛還元ガスの選択または処理｝
C21B13/008	｛特別の添加物または溶剤の使用｝
C21B13/0086	｛還元鉄鉱石の調製，変性｝
C21B13/0093	｛酸化を防止するもの｝
C21B13/02	直立炉によるもの
C21B13/023	｛鉄または鋼が溶融状態で取得されるもの｝
C21B13/026	｛電気的に加熱されるもの｝
C21B13/029	
C21B13/04	レトルトによるもの
C21B13/06	多段炉によるもの
C21B13/08	回転炉によるもの
C21B13/085	｛鉄または鋼が溶融状態で取得されるもの｝
C21B13/10	炉床式炉によるもの
C21B13/105	｛ロータリーハース型炉｝　
C21B13/12	電気炉によるもの
C21B13/125	｛プラズマの使用によるもの｝
C21B13/14	多段階法　｛異なった容器または炉で行われるプロセス｝
C21B13/143	｛部分還元された原鉱石の溶融浴への注入｝
C21B13/146	｛溶融なしの多段階還元｝
C21B15/00	他の方法による鉄化合物からの製鉄法（金属に還元する一般的方法Ｃ２２Ｂ５／００；電解法によるものＣ２５Ｃ１／０６）
C21B15/003	｛原子力エネルギーの使用によるもの｝
C21B15/006	｛塩化物法によるもの｝
C21B15/02	冶金熱反応によるもの，例．テルミット還元
C21B15/04	鉄カルボニルからのもの
C21B2100/00	排気ガス
C21B2100/20	
C21B2100/22	
C21B2100/24	
C21B2100/26	
C21B2100/28	
C21B2100/282	
C21B2100/284	
C21B2100/40	
C21B2100/42	
C21B2100/44	
C21B2100/60	
C21B2100/62	
C21B2100/64	
C21B2100/66	
C21B2100/80	
C21B2200/00	不要な材料のリサイクル
C21B2300/00	工程の観点
C21B2300/02	工程ステップの特定の連続
C21B2300/04	工程のモデル化，例．制御目的のためのもの；ＣＩＩ
C21B2400/00	
C21B2400/02	
C21B2400/022	
C21B2400/024	
C21B2400/026	
C21B2400/028	
C21B2400/03	
C21B2400/032	
C21B2400/034	
C21B2400/04	
C21B2400/042	
C21B2400/044	
C21B2400/05	
C21B2400/052	
C21B2400/054	
C21B2400/056	
C21B2400/058	
C21B2400/06	
C21B2400/062	
C21B2400/064	
C21B2400/066	
C21B2400/068	
C21B2400/07	
C21B2400/072	
C21B2400/074	
C21B2400/076	
C21B2400/08	
