C12Y101/00	CH-OH結合を電子供与体とする (1.1)
C12Y101/01238	12β-ヒドロキシステロイドデヒドロゲナーゼ (1.1.1.238)
C12Y101/01239	3α(17β)-ヒドロキシステロイドデヒドロゲナーゼ (NAD+) (1.1.1.239)
C12Y101/0124	N-アセチルヘキソサミン-1-デヒドロゲナーゼ (1.1.1.240)
C12Y101/01241	6-endo-ヒドロキシシネオールデヒドロゲナーゼ (1.1.1.241)
C12Y101/01243	カルベオールデヒドロゲナーゼ (1.1.1.243)
C12Y101/01244	メタノールデヒドロゲナーゼ (1.1.1.244)
C12Y101/01245	シクロヘキサノールデヒドロゲナーゼ (1.1.1.245)
C12Y101/01246	プテロカルピンシンターゼ (1.1.1.246)
C12Y101/01247	コデイノンレダクターゼ (NADPH) (1.1.1.247)
C12Y101/01248	サルタリジンレダクターゼ (NADPH) (1.1.1.248)
C12Y101/0125	D-アラビニトール-2-デヒドロゲナーゼ (1.1.1.250)
C12Y101/01251	ガラクチトール-1-リン酸-5-デヒドロゲナーゼ (1.1.1.251)
C12Y101/01252	テトラヒドロキシナフタレンレダクターゼ (1.1.1.252)
C12Y101/01254	(S)-カルニチン-3-デヒドロゲナーゼ (1.1.1.254)
C12Y101/01255	マンニトールデヒドロゲナーゼ (1.1.1.255)
C12Y101/01256	フルオレン-9-オールデヒドロゲナーゼ (1.1.1.256)
C12Y101/01257	4-(ヒドロキシメチル)ベンゼンスルホン酸デヒドロゲナーゼ (1.1.1.257)
C12Y101/01258	6-ヒドロキシヘキサン酸デヒドロゲナーゼ (1.1.1.258)
C12Y101/01259	3-ヒドロキシピメロイルCoAデヒドロゲナーゼ (1.1.1.259)
C12Y101/0126	スルカトンレダクターゼ (1.1.1.260)
C12Y101/01261	sn-グリセロール-1-リン酸デヒドロゲナーゼ (1.1.1.261)
C12Y101/01262	4-ヒドロキシトレオニン-4-リン酸デヒドロゲナーゼ (1.1.1.262)
C12Y101/01263	1,5-アンヒドロ-D-フルクトースレダクターゼ (1.1.1.263)
C12Y101/01264	L-イドン酸-5-デヒドロゲナーゼ (1.1.1.264)
C12Y101/01265	3-メチルブタナールレダクターゼ (1.1.1.265)
C12Y101/01266	dTDP-4-デヒドロ-6-デオキシグルコースレダクターゼ (1.1.1.266)
C12Y101/01267	1-デオキシ-D-キシルロース-5-リン酸レダクトイソメラーゼ (1.1.1.267)
C12Y101/01268	2-(R)-ヒドロキシプロピルCoMデヒドロゲナーゼ (1.1.1.268)
C12Y101/01269	2-(S)-ヒドロキシプロピルCoMデヒドロゲナーゼ (1.1.1.269)
C12Y101/0127	3-ケトステロイドレダクターゼ (1.1.1.270)
C12Y101/01271	GDP-L-フコースシンターゼ (1.1.1.271)
C12Y101/01272	(R)-2-ヒドロキシ酸デヒドロゲナーゼ (1.1.1.272)
C12Y101/01273	ベロシミンデヒドロゲナーゼ (1.1.1.273)
C12Y101/01274	2,5-ジデヒドログルコン酸レダクターゼ (1.1.1.274)
C12Y101/01275	(+)-trans-カルベオールデヒドロゲナーゼ (1.1.1.275)
C12Y101/01276	セリン-3-デヒドロゲナーゼ (1.1.1.276)
C12Y101/01277	3β-ヒドロキシ-5β-ステロイドデヒドロゲナーゼ (1.1.1.277)
C12Y101/01278	3β-ヒドロキシ-5α-ステロイドデヒドロゲナーゼ (1.1.1.278)
C12Y101/01279	(R)-3-ヒドロキシ酸エステルデヒドロゲナーゼ (1.1.1.279)
C12Y101/0128	(S)-3-ヒドロキシ酸エステルデヒドロゲナーゼ (1.1.1.280)
C12Y101/01281	GDP-4-デヒドロ-6-デオキシ-D-マンノースレダクターゼ (1.1.1.281)
C12Y101/01282	キナ酸/シキミ酸デヒドロゲナーゼ (1.1.1.282)
C12Y101/01283	メチルグリオキサールレダクターゼ (NADPH依存) (1.1.1.283)
C12Y101/01284	S-(ヒドロキシメチル)グルタチオンデヒドロゲナーゼ (1.1.1.284)
C12Y101/01285	3-デアミノ-3-ニコチアナミンレダクターゼ (1.1.1.285)
C12Y101/01286	イソクエン酸-ホモイソソクエン酸デヒドロゲナーゼ (1.1.1.286)
C12Y101/01287	D-アラビニトールデヒドロゲナーゼ (NADP+) (1.1.1.287)
C12Y101/01288	キサントキシンデヒドロゲナーゼ (1.1.1.288)
C12Y101/01289	ソルボースレダクターゼ (1.1.1.289)
C12Y101/0129	4-ホスホエリトロン酸デヒドロゲナーゼ (1.1.1.290)
C12Y101/01291	2-ヒドロキシメチルグルタル酸デヒドロゲナーゼ (1.1.1.291)
C12Y101/01292	1,5-アンヒドロ-D-フルクトースレダクターゼ (1,5-アンヒドロ-D-マンニトール形成) (1.1.1.292)
C12Y101/01294	クロロフィル(イド)bレダクターゼ (1.1.1.294)
C12Y101/01295	モミラクトンAシンターゼ (1.1.1.295)
C12Y101/01296	ジヒドロカルベオールデヒドロゲナーゼ (1.1.1.296)
C12Y101/01297	リモネン-1,2-ジオールデヒドロゲナーゼ (1.1.1.297)
C12Y101/01298	3-ヒドロキシプロピオン酸デヒドロゲナーゼ (NADP+) (1.1.1.298)
C12Y101/01299	リンゴ酸デヒドロゲナーゼ (NAD(P)+) (1.1.1.299)
C12Y101/013	NADP-レチノールデヒドロゲナーゼ (1.1.1.300)
C12Y101/01301	D-アラビトールリン酸デヒドロゲナーゼ (1.1.1.301)
C12Y101/01302	2,5-ジアミノ-6-(リボシルアミノ)-4(3H)-ピリミジノン-5'-リン酸レダクターゼ (1.1.1.302)
C12Y101/01303	ジアセチルレダクターゼ ((R)-アセトイン形成) (1.1.1.303)
C12Y101/01304	ジアセチルレダクターゼ ((S)-アセトイン形成) (1.1.1.304)
C12Y101/01305	UDP-グルクロン酸デヒドロゲナーゼ (UDP-4-ケト-ヘキサウロン酸脱炭酸) (1.1.1.305)
C12Y101/01306	S-(ヒドロキシメチル)マイコチオールデヒドロゲナーゼ (1.1.1.306)
C12Y101/01307	D-キシロースレダクターゼ (1.1.1.307)
C12Y101/01308	スルホプロパンジオール-3-デヒドロゲナーゼ (1.1.1.308)
C12Y101/01309	ホスホノアセトアルデヒドレダクターゼ (NADH) (1.1.1.309)
C12Y101/0131	(S)-スルホ乳酸デヒドロゲナーゼ (1.1.1.310)
C12Y101/01311	(S)-1-フェニルエタノールデヒドロゲナーゼ (1.1.1.311)
C12Y101/01312	2-ヒドロキシ-4-カルボキシムコン酸セミアルデヒドヘミアセタールデヒドロゲナーゼ (1.1.1.312)
C12Y101/01313	スルホアセトアルデヒドレダクターゼ (1.1.1.313)
C12Y101/01314	ゲルマクレンAアルコールデヒドロゲナーゼ (1.1.1.314)
C12Y101/01315	11-シス・レンチノールデヒドロゲナーゼ (1.1.1.315)
C12Y101/01316	L-ガラクトース 1-デヒドロゲナーゼ (1.1.1.316)
C12Y101/01317	ペラキーネレダクターゼ (1.1.1.317)
C12Y101/01318	
C12Y101/01319	
C12Y101/0132	
C12Y101/01321	
C12Y101/01322	
C12Y101/01323	
C12Y101/01324	
C12Y101/01325	
C12Y101/01326	
C12Y101/01327	
C12Y101/01328	
C12Y101/01329	
C12Y101/0133	
C12Y101/01331	
C12Y101/01332	
C12Y101/01333	
C12Y101/01334	
C12Y101/01335	
C12Y101/01336	
C12Y101/01337	
C12Y101/01338	
C12Y101/01339	
C12Y101/0134	
C12Y101/01341	
C12Y101/01342	
C12Y101/01817	スルホアセトアルデヒドレダクターゼ (1.1.1.B17)
C12Y101/02	シトクロムが電子受容体 (1.1.2)
C12Y101/02002	マンニトールデヒドロゲナーゼ (シトクロム) (1.1.2.2)
C12Y101/02003	L-乳酸デヒドロゲナーゼ (シトクロム) (1.1.2.3)
C12Y101/02004	D-乳酸デヒドロゲナーゼ (シトクロム) (1.1.2.4)
C12Y101/02005	D-乳酸デヒドロゲナーゼ (シトクロム c-553) (1.1.2.5)
C12Y101/02006	ポリビニルアルコールデヒドロゲナーゼ (シトクロム) (1.1.2.6)
C12Y101/02007	メタノールデヒドロゲナーゼ (シトクロムc) (1.1.2.7)
C12Y101/02008	アルコールデヒドロゲナーゼ (シトクロムc) (1.1.2.8)
C12Y101/03	酸素が電子受容体 (1.1.3)
C12Y101/03003	リンゴ酸オキシダーゼ (1.1.3.3)
C12Y101/03004	グルコースオキシダーゼ (1.1.3.4)
C12Y101/03005	ヘキソースオキシダーゼ (1.1.3.5)
C12Y101/03006	コレステロールオキシダーゼ (1.1.3.6)
C12Y101/03007	アリールアルコールオキシダーゼ (1.1.3.7)
